Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,"startpeanut0,5",,POINT,306.506,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,9186,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,START,335.335,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,10050,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,STOP,349.115,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,10463,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,sniffing,,POINT,349.382,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,10471,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,bending,,START,349.482,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,10474,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,bending,,STOP,349.783,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,10483,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,grabbing peanut,,POINT,349.783,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,10483,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,lifting,,START,349.816,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,10484,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,lifting,,STOP,350.317,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,10499,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,START,352.018,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,10550,NA,
