date,time.of.day,time (UTC),temperature (°C),Study site,ID,weather,Fruit,unstem,peel,transported,scatter.hoarded,eaten.lifted,eaten.on.the.floor,peeled.lifted,rotate,scent-marking,handling.only,comments,order taken,trials before first bite,peel bouts before first eating bout,hands used while eating,bite for each peeling bout (mean),total peeling bout,trials before scatterhoarding,leaf on top,time.first.peeling,time.first.eating,nb of eating bout before second peeling bout,,,,
22/03/2025,afternoon,NA,NA,House1,Unidentified,cloudy,apple,0,0,1,0,0,1,0,0,0,,eat without hands,2/6,0,NA,0,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:37,31,House1,Unidentified,cloudy,banana,0,NA,1,NA,NA,NA,0,NA,0,,,3/6,0,NA,NA,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:41,31,House1,Unidentified,cloudy,apple,0,NA,1,NA,NA,NA,0,NA,0,,,4/6,0,NA,NA,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:48,31,House1,Unidentified,cloudy,banana,0,1,1,0,0,1,0,0,0,,,5/6,0,2,2,10,3,NA,NA,,,,,,,
22/03/2025,afternoon,20:54,33,House1,Unidentified,cloudy,orange,0,NA,1,0,0,1,0,1,0,,,6/6,0,NA,NA,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,11:59,25,House1,Unidentified,sunny,apple,0,0,1,0,0,1,0,0,0,,Social interacton : the one with the apple in the mouth pursue another agouti before stop and eat.,1/9,1,NA,1,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,12:02,26,House1,Unidentified,sunny,apple,0,NA,1,NA,NA,NA,0,NA,0,,bites in it to transport it,2/9,4,NA,NA,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,12:11,26,House1,Unidentified,sunny,banana,0,NA,1,NA,NA,NA,0,NA,0,,"bites in the middle of it, use two hands to stabilize the banana in order to bite strong, and transport.",3/9,7,NA,NA,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,12:40,25,House1,Unidentified,sunny,apple,0,NA,1,NA,NA,NA,0,NA,0,,,4/9,14,NA,NA,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,12:54,26,House1,Unidentified,sunny,banana,0,NA,1,NA,NA,NA,0,NA,0,,,5/9,,NA,NA,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,13:01,27,House1,Unidentified,sunny,banana,0,NA,1,NA,NA,NA,0,NA,0,,,6/9,,NA,NA,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,13:49,27,House1,Unidentified,sunny,orange,0,NA,1,1,NA,NA,0,1,0,,put two hands on it to rotate and bite and transport. Put orange on ground an put leaves around it. Pseudo-scatterhoarding.,7/9,5,NA,NA,NA,NA,0,NA,,,,,,,
23/03/2025,morning,13:51,28,House1,Unidentified,sunny,orange,0,NA,1,,,,0,1,0,,put two hands on it to rotate and bite and transport.,8/9,7,NA,NA,NA,NA,NA,0,,,,,,,
23/03/2025,morning,15:00,30,House1,Unidentified,sunny,orange,0,1,0,0,0,1,0,1,0,,Eat the first peel bout!,9/9,5,6,2,8,6,NA,NA,,,,,,,
24/03/2025,morning,12:34,25,House1,Unidentified,cloudy,apple,0,NA,1,NA,NA,NA,0,NA,0,,,1/9,,NA,NA,NA,NA,NA,NA,,,,,,,
24/03/2025,morning,12:35,25,House1,Unidentified,cloudy,apple,0,NA,1,NA,NA,NA,0,NA,0,,,2/9,,NA,NA,NA,NA,NA,NA,,,,,,,
24/03/2025,morning,13:09,26,House1,Unidentified,cloudy,orange,0,NA,NA,NA,NA,NA,0,NA,0,1,tries to bite it four times. Abandonned.,,4,NA,NA,NA,NA,NA,NA,,,,,,,
24/03/2025,morning,14:11,30,House1,Unidentified,cloudy,orange,0,NA,1,NA,NA,NA,0,NA,0,,,3/9,NA,NA,NA,NA,NA,NA,NA,,,,,,,
24/03/2025,morning,13:10,26,House1,Unidentified,cloudy,apple,0,NA,1,NA,NA,NA,0,NA,0,,tries to bite and put one hand on it.,4/9,6,NA,NA,NA,NA,NA,NA,,,,,,,
24/03/2025,morning,14:00,28,House1,Unidentified,cloudy,banana,0,1,1,0,0,1,0,0,0,,,5/9,3,NA,2,NA,NA,NA,NA,,,,,,,
24/03/2025,morning,14:05,29,House1,Unidentified,cloudy,banana,0,1,0,0,0,1,0,0,0,,both hands on it when peeling. Peels once before starting eating,6/9,3,3,2,6,3,NA,NA,,,,,,,
24/03/2025,morning,14:07,30,House1,Unidentified,cloudy,banana,0,NA,1,NA,NA,NA,0,NA,0,,,7/9,NA,NA,NA,NA,NA,NA,NA,,,,,,,
24/03/2025,morning,,30,House1,Unidentified,cloudy,orange,0,NA,NA,NA,NA,NA,NA,NA,NA,,Abandonned,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
24/03/2025,morning,,30,House1,Unidentified,cloudy,orange,0,NA,NA,NA,NA,NA,NA,NA,NA,,Abandonned,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
24/03/2025,morning,11:59,27,Airbnb2,Unidentified,cloudy,banana,0,NA,1,NA,NA,NA,0,NA,0,,,1/9,NA,NA,NA,NA,NA,NA,NA,,,,,,,
24/03/2025,morning,12:02,27,Airbnb2,Unidentified,cloudy,banana,0,0,0,1,0,0,0,0,0,,4 trials before biting. Dig 1st time spot 1 (while holding it in mouth). Dig another time spot 2. Dig again final spot. Scatterhoard. ,2/9,4,NA,NA,NA,NA,2,1,,,,,,,
24/03/2025,morning,12:05,27,Airbnb2,Unidentified,cloudy,apple,1,0,1,0,0,1,0,0,0,,Takes stem off. One hand on it while eating.,3/9,0,NA,1,NA,NA,NA,NA,,,,,,,
24/03/2025,morning,12:10,27,Airbnb2,Unidentified,cloudy,apple,0,NA,1,NA,NA,NA,0,NA,0,,,4/9,10,NA,NA,NA,NA,NA,NA,,,,,,,
24/03/2025,morning,12:14,26,Airbnb2,Unidentified,cloudy,apple,0,1,1,NA,NA,NA,0,NA,0,,,5/9,7,6,0,4,10,NA,NA,,,,,,,
24/03/2025,morning,12:27,26,Airbnb3,Unidentified,cloudy,banana,0,1,1,0,0,1,0,0,0,,Banana retrieved from previous scatter-hoarding,,1,4,2,8,4,NA,NA,,,,,,,
24/03/2025,morning,13:35,28,Airbnb2,Unidentified,cloudy,orange,0,0,0,0,0,0,0,0,1,,Scent marked,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
26/03/2025,morning,11:46,26,House1,Unidentified,open sky,apple,0,0,1,0,0,1,0,0,0,,Two hands on it to bite it. Transport. Two hands on it to eat it.,1/6,6,8,2,8,10,NA,NA,,,,,,,
26/03/2025,morning,12:02,26,House1,Unidentified,open sky,apple,0,NA,NA,NA,NA,NA,0,NA,0,,not on video,2/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
26/03/2025,morning,12:15,25,House1,Unidentified,cloudy,banana,0,1,0,0,0,1,0,0,0,,not on video,3/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
26/03/2025,morning,12:15,25,House1,Unidentified,cloudy,orange,0,NA,0,NA,NA,1,0,NA,0,,,4/6,NA,9,2,6,10,NA,NA,,,,,,,
26/03/2025,morning,12:46,26,House1,Unidentified,cloudy,banana,1,1,0,0,1,1,0,0,0,,stem removed. Eat lifted. Peel on the floor. Eat on the floor.,5/6,0,1,2,15,1,NA,NA,,,,,,,
26/03/2025,morning,12:17,25,House1,Unidentified,cloudy,orange,,NA,NA,NA,NA,NA,NA,NA,NA,,Abandonned,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
26/03/2025,morning,11:41,24,Airbnb1,Unidentified,cloudy,apple,,1,1,0,0,1,0,0,0,,,1/6,0,3,2,4,4,NA,NA,,,,,,,
26/03/2025,morning,11:50,25,Airbnb1,Unidentified,cloudy,apple,0,0,1,0,0,1,0,0,0,,Two hands on it while eating,2/6,3,NA,2,NA,NA,NA,NA,,,,,,,
26/03/2025,morning,11:58,27,Airbnb1,Unidentified,cloudy,banana,,1,1,0,0,1,0,0,0,,One hand while peeling and eating,3/6,NA,3,2,3,5,NA,NA,,,,,,,
26/03/2025,morning,12:04,27,Airbnb1,Unidentified,cloudy,banana,,NA,1,NA,NA,NA,0,NA,0,,,4/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
26/03/2025,morning,,,Airbnb1,Unidentified,cloudy,orange,0,NA,NA,NA,NA,NA,0,NA,0,,Abandonned,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
26/03/2025,morning,,,Airbnb1,Unidentified,cloudy,orange,0,NA,NA,NA,NA,NA,0,NA,0,,Abandonned,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
27/03/2025,morning,11:51,25,Airbnb2,Unidentified,open sky,apple,0,NA,1,NA,NA,NA,0,NA,0,,,1/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
27/03/2025,morning,11:56,25,Airbnb2,Unidentified,open sky,banana,1,1,0,0,1,0,1,0,0,,Two hands. Lift. Stem off. Peeled lifted. Eaten lifted,2/6,0,4,2,10,4,NA,NA,,,,,,,
27/03/2025,morning,12:05,25,Airbnb2,Unidentified,open sky,grape,1,1,0,0,1,0,1,1,0,,,3/6,0,3,2,8,3,NA,NA,,,,,,,
27/03/2025,morning,12:06,25,Airbnb2,Unidentified,open sky,grape,1,1,0,0,1,0,1,1,0,,,4/6,0,4,2,7,4,NA,NA,,,,,,,
27/03/2025,morning,12:07,25,Airbnb2,Unidentified,open sky,grape,1,1,0,0,1,0,1,1,0,,,,0,5,2,7,5,NA,NA,,,,,,,
26/03/2025,morning,14:05,,Andys,Unidentified,cloudy,apple,0,0,1,0,0,1,0,0,0,NA,,1/6,5,NA,1,NA,NA,NA,NA,,,,,,,
27/03/2025,morning,13:17,,Andys,Unidentified,open sky,apple,0,NA,1,0,NA,NA,NA,NA,NA,NA,,2/6,2,NA,NA,NA,NA,NA,NA,,,,,,,
27/03/2025,morning,13:32,,Andys,Unidentified,open sky,grape,1,0,0,0,1,0,0,1,0,NA,,3/6,0,0,2,NA,NA,NA,NA,,,,,,,
27/03/2025,morning,13:33,,Andys,Unidentified,open sky,grape,1,0,0,0,1,0,0,1,0,NA,,,0,0,2,NA,NA,NA,NA,,,,,,,
27/03/2025,morning,13:33,,Andys,Unidentified,open sky,grape,1,0,0,0,1,0,0,1,0,NA,,,0,0,2,NA,NA,NA,NA,,,,,,,
27/03/2025,morning,13:34,,Andys,Unidentified,open sky,grape,1,0,0,0,1,0,0,1,0,NA,,,0,0,2,NA,NA,NA,NA,,,,,,,
27/03/2025,morning,13:35,,Andys,Unidentified,open sky,banana,0,1,0,0,0,1,0,0,0,NA,,4/6,2,2,2,20,2,NA,NA,,,,,,,
27/03/2025,morning,15:03,,Andys,Unidentified,open sky,grape,1,1,0,0,1,0,1,1,0,NA,,5/6,0,4,2,7,4,NA,NA,,,,,,,
27/03/2025,morning,15:05,,Andys,Unidentified,open sky,grape,0,1,0,0,1,0,1,1,0,NA,,6/6,0,4,2,7,4,NA,NA,,,,,,,
01/02/2022,morning,,30,Oldvideo,Unidentified,,orange,NA,1,0,0,0,1,0,1,0,NA,,,1,2,2,15,5,NA,NA,,,,,,,
