Day,Time,ID,type,order_taken,rotation,scatter-hoard,leaf,eaten,N_congeners_around,Session,bloc_number,Comments,teeth-hole contact,,,,,,,,,,,,,
08/05,,Sidemark,empty,3,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Sidemark,empty,4,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Sidemark,control glue,5,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Sidemark,control glue,6,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Sidemark,control,7,0,1,NA,0,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Sidemark,control glue,8,0,1,NA,0,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Sidemark,empty,9,0,1,NA,0,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Sidemark,control glue,10,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Sidemark,control glue,11,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Sidemark,control glue,12,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Sidemark,control glue,13,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
09/05,,NA,control,1,0,1,NA,0,NA,13,,learned,,,,,,,,,,,,,,
09/05,,NA,control,2,0,1,NA,0,NA,13,,learned,,,,,,,,,,,,,,
09/05,,NA,control,3,0,1,NA,0,NA,13,,learned,,,,,,,,,,,,,,
09/05,,NA,control glue,4,0,0,NA,1,NA,13,,learned,,,,,,,,,,,,,,
09/05,,NA,control,5,0,1,NA,0,NA,13,,learned,,,,,,,,,,,,,,
09/05,,Small shy,control,1,0,1,NA,0,NA,13,,not learned but airbnb still,,,,,,,,,,,,,,
09/05,,Small shy,control,2,0,1,NA,0,NA,13,,not learned but airbnb still,,,,,,,,,,,,,,
09/05,,Small shy,control glue,3,1,1,NA,0,NA,13,,not learned but airbnb still,,,,,,,,,,,,,,
09/05,,Small shy,control glue,4,1,1,NA,0,NA,13,,not learned but airbnb still,,,,,,,,,,,,,,
09/05,,Small shy,control glue,5,1,1,NA,0,NA,13,,not learned but airbnb still,,,,,,,,,,,,,,
09/05,,Small shy,control glue,6,0,1,NA,0,NA,13,,not learned but airbnb still,,,,,,,,,,,,,,
09/05,,Small shy,empty,7,1,1,NA,0,NA,13,,not learned but airbnb still,,,,,,,,,,,,,,
09/05,,Small shy,empty,8,0,1,NA,0,NA,13,,not learned but airbnb still,,,,,,,,,,,,,,
09/05,,Small shy,control glue,9,1,1,NA,0,NA,13,,not learned but airbnb still,,,,,,,,,,,,,,
09/05,,Small shy,empty,10,1,1,NA,0,NA,13,,not learned but airbnb still,,,,,,,,,,,,,,
09/05,,Small shy,empty,11,1,1,NA,0,NA,13,,not learned but airbnb still,,,,,,,,,,,,,,
